t_adimensional,p_outlet_Pa,q_outlet_m3s,w_centro_m,w_max_m,volume_acumulado_m3,potencia_W
0.0,4989.666839204002,7.081687804100791e-07,2.4333191124395297e-08,2.433319112439532e-08,4.694540126742882e-13,0.003540843902050396
0.0125,4979.588976052906,1.398841092286096e-06,7.292004797486083e-08,7.29200479748609e-08,1.3967634084473154e-12,0.00699420546143048
0.025,4969.795745001351,2.0700065397537198e-06,1.4568253250580212e-07,1.4568253250580225e-07,2.768996840972649e-12,0.010350032698768599
0.037500000000000006,4960.2928358823365,2.7212751779955625e-06,2.4254411991518835e-07,2.4254411991518857e-07,4.572964464568234e-12,0.013606375889977812
0.05,4951.077303090832,3.352848879976177e-06,3.6342978239047866e-07,3.6342978239047893e-07,6.795610257685305e-12,0.016764244399880886
0.0625,4942.144541261523,3.96504326797854e-06,5.082659647806598e-07,5.082659647806601e-07,9.424087428765644e-12,0.0198252163398927
0.07500000000000001,4933.490424344364,4.558141115078939e-06,6.769805626361407e-07,6.769805626361411e-07,1.2445736640088328e-11,0.022790705575394695
0.08750000000000001,4925.111450646397,5.132382404978104e-06,8.695029033208749e-07,8.695029033208752e-07,1.584805764215321e-11,0.02566191202489052
0.1,4917.004432808682,5.687985578827956e-06,1.0857637286809825e-06,1.0857637286809831e-06,1.9618694992853714e-11,0.02843992789413978
0.1125,4909.166270505496,6.225163113155505e-06,1.3256951781594448e-06,1.3256951781594454e-06,2.3745434103451792e-11,0.031125815565777523
0.125,4901.593868166519,6.7441271585724e-06,1.5892307719550691e-06,1.58923077195507e-06,2.8216201022524517e-11,0.033720635792862004
0.1375,4894.2841300466835,7.245089877631275e-06,1.876305394201629e-06,1.8763053942016296e-06,3.301906244387991e-11,0.036225449388156375
0.15000000000000002,4887.2339746686275,7.728262455093978e-06,2.18685527623758e-06,2.186855276237581e-06,3.814222505836711e-11,0.038641312275469894
0.1625,4880.440344863808,8.193854409760256e-06,2.520817980015215e-06,2.520817980015216e-06,4.3574034449489086e-11,0.04096927204880128
0.17500000000000002,4873.9002105218915,8.64207340601453e-06,2.8781323816624794e-06,2.87813238166248e-06,4.9302973864087335e-11,0.043210367030072645
0.1875,4867.610567518399,9.073125327339875e-06,3.258738655192043e-06,3.258738655192043e-06,5.5317663031759933e-11,0.04536562663669937
