H_um,p_inlet_Pa,Nx,Ny,dt,n_passos,w_centro_max_m,w_max_m,p_outlet_max_Pa,q_outlet_max_abs_m3s,volume_final_m3,potencia_max_abs_W,tempo_execucao_s
1000,5000.0,51,51,0.00625,1921,6.198732880517474e-05,6.198732880517474e-05,5847.321610153213,1.149500430023078e-05,3.9870943120911384e-10,0.0574750215011539,25.619252262000373
1000,5000.0,51,51,0.0125,961,6.0938732077334393e-05,6.0938732077334393e-05,5791.488441987584,1.1411407212219072e-05,3.9818687804921876e-10,0.0570570360610953,12.01028693399985
1000,5000.0,51,51,0.025,481,5.9318116417174095e-05,5.9318116417174095e-05,5706.001069391314,1.1242994583950027e-05,3.9793804033094615e-10,0.0562149729197501,5.581562709999162
1000,5000.0,51,51,0.05,241,5.692076529166173e-05,5.692076529166173e-05,5586.096470768615,1.092031009118442e-05,3.9787105214537907e-10,0.0546015504559221,2.9404646720004166
1000,5000.0,101,101,0.00625,1921,6.156766276905527e-05,6.156766276905527e-05,5848.400735195899,1.1406672296302966e-05,3.9309255924142064e-10,0.0570333614815148,105.3347326869998
1000,5000.0,101,101,0.0125,961,6.058259105310219e-05,6.058259105310219e-05,5791.632397561982,1.1323193242027386e-05,3.925320750027603e-10,0.0566159662101369,51.09995067999989
1000,5000.0,101,101,0.025,481,5.899593542357383e-05,5.899593542357383e-05,5706.042251511405,1.1155358658885027e-05,3.922647538568016e-10,0.0557767932944251,26.661231283000237
1000,5000.0,101,101,0.05,241,5.663773501050535e-05,5.663773501050535e-05,5585.086316983615,1.0834529428765178e-05,3.9218645404633457e-10,0.0541726471438258,14.851228282000193
1000,10000.0,51,51,0.00625,1921,0.0001239746576103,0.0001239746576103,11694.643220306429,2.299000860046156e-05,7.974188624182277e-10,0.2299000860046156,18.486526910000062
1000,10000.0,51,51,0.0125,961,0.0001218774641546,0.0001218774641546,11582.976883975169,2.2822814424438143e-05,7.963737560984375e-10,0.2282281442443814,9.487693840000247
1000,10000.0,51,51,0.025,481,0.0001186362328343,0.0001186362328343,11412.002138782627,2.2485989167900054e-05,7.958760806618923e-10,0.2248598916790005,5.033978800999648
1000,10000.0,51,51,0.05,241,0.0001138415305833,0.0001138415305833,11172.19294153723,2.184062018236884e-05,7.957421042907581e-10,0.2184062018236884,2.772013376999894
1000,10000.0,101,101,0.00625,1921,0.0001231353255381,0.0001231353255381,11696.801470391798,2.281334459260593e-05,7.861851184828413e-10,0.2281334459260593,99.86995577200014
1000,10000.0,101,101,0.0125,961,0.0001211651821062,0.0001211651821062,11583.264795123963,2.264638648405477e-05,7.850641500055206e-10,0.2264638648405477,51.94827826900018
1000,10000.0,101,101,0.025,481,0.0001179918708471,0.0001179918708471,11412.08450302281,2.231071731777005e-05,7.845295077136032e-10,0.2231071731777005,26.854639782999584
1000,10000.0,101,101,0.05,241,0.000113275470021,0.000113275470021,11170.17263396723,2.166905885753036e-05,7.843729080926693e-10,0.2166905885753035,14.542544193999674
1000,20000.0,51,51,0.00625,1921,0.0002479493152206,0.0002479493152206,23389.286440612854,4.598001720092312e-05,1.5948377248364554e-09,0.9196003440184624,18.690653745999956
1000,20000.0,51,51,0.0125,961,0.0002437549283093,0.0002437549283093,23165.953767950337,4.5645628848876286e-05,1.592747512196875e-09,0.9129125769775256,9.5734745510008
1000,20000.0,51,51,0.025,481,0.0002372724656686,0.0002372724656686,22824.00427756525,4.497197833580012e-05,1.5917521613237846e-09,0.8994395667160023,5.084354317999896
1000,20000.0,51,51,0.05,241,0.0002276830611666,0.0002276830611666,22344.38588307446,4.368124036473768e-05,1.5914842085815163e-09,0.8736248072947536,2.791487514999972
1000,20000.0,101,101,0.00625,1921,0.0002462706510762,0.0002462706510762,23393.6029407836,4.562668918521186e-05,1.5723702369656826e-09,0.9125337837042372,100.41940953999983
1000,20000.0,101,101,0.0125,961,0.0002423303642124,0.0002423303642124,23166.529590247927,4.529277296810954e-05,1.5701283000110411e-09,0.9058554593621908,51.1824876540004
1000,20000.0,101,101,0.025,481,0.0002359837416942,0.0002359837416942,22824.16900604562,4.462143463554011e-05,1.5690590154272063e-09,0.8924286927108022,26.631806643000346
1000,20000.0,101,101,0.05,241,0.000226550940042,0.000226550940042,22340.34526793446,4.333811771506071e-05,1.5687458161853383e-09,0.8667623543012143,14.497600098000476
1250,5000.0,51,51,0.00625,1921,7.335183634782113e-05,7.335183634782113e-05,5607.440005623466,1.3759974325506484e-05,4.102571373772042e-10,0.0687998716275324,18.49771565300034
1250,5000.0,51,51,0.0125,961,7.216875526600342e-05,7.216875526600342e-05,5574.212835475752,1.3648334027259042e-05,4.0722163930191734e-10,0.0682416701362952,9.6066373929998
1250,5000.0,51,51,0.025,481,7.012745756026096e-05,7.012745756026096e-05,5520.6331938560925,1.3428389919100354e-05,4.03762652404228e-10,0.0671419495955017,5.031950403000337
1250,5000.0,51,51,0.05,241,6.68185443201369e-05,6.68185443201369e-05,5439.920119005729,1.300173339983963e-05,4.0033764733864276e-10,0.0650086669991981,2.782616237000184
1250,5000.0,101,101,0.00625,1921,7.278607230593688e-05,7.278607230593688e-05,5604.424037657142,1.3633324755387236e-05,4.046472416517279e-10,0.0681666237769361,100.0466728020001
1250,5000.0,101,101,0.0125,961,7.166105651791866e-05,7.166105651791866e-05,5570.894553634927,1.3522211382123138e-05,4.0157903884147465e-10,0.0676110569106157,51.34474637899984
1250,5000.0,101,101,0.025,481,6.966222003832115e-05,6.966222003832115e-05,5517.495762999058,1.3303323362145148e-05,3.9813440801256576e-10,0.0665166168107257,26.755558197000028
1250,5000.0,101,101,0.05,241,6.639052288560628e-05,6.639052288560628e-05,5437.242276827286,1.2878751095883876e-05,3.9472283253676276e-10,0.0643937554794193,14.503215354000533
1250,10000.0,51,51,0.00625,1921,0.0001467036726956,0.0001467036726956,11214.880011246933,2.751994865101297e-05,8.205142747544084e-10,0.2751994865101297,18.56190999499995
1250,10000.0,51,51,0.0125,961,0.000144337510532,0.000144337510532,11148.425670951505,2.7296668054518085e-05,8.144432786038347e-10,0.2729666805451808,9.735341586999311
1250,10000.0,51,51,0.025,481,0.0001402549151205,0.0001402549151205,11041.266387712183,2.6856779838200707e-05,8.075253048084561e-10,0.268567798382007,5.112774973000342
1250,10000.0,51,51,0.05,241,0.0001336370886402,0.0001336370886402,10879.840238011458,2.600346679967926e-05,8.006752946772855e-10,0.2600346679967926,2.791425094999795
1250,10000.0,101,101,0.00625,1921,0.0001455721446118,0.0001455721446118,11208.848075314285,2.7266649510774472e-05,8.092944833034556e-10,0.2726664951077447,100.77836559499974
1250,10000.0,101,101,0.0125,961,0.0001433221130358,0.0001433221130358,11141.789107269851,2.704442276424628e-05,8.031580776829493e-10,0.2704442276424628,53.21665472299992
1250,10000.0,101,101,0.025,481,0.0001393244400766,0.0001393244400766,11034.991525998115,2.6606646724290293e-05,7.962688160251314e-10,0.2660664672429029,26.944735771000524
1250,10000.0,101,101,0.05,241,0.0001327810457712,0.0001327810457712,10874.484553654573,2.5757502191767752e-05,7.894456650735255e-10,0.2575750219176775,14.568063323000388
1250,20000.0,51,51,0.00625,1921,0.0002934073453912,0.0002934073453912,22429.760022493865,5.503989730202594e-05,1.641028549508817e-09,1.1007979460405188,18.92825341900061
1250,20000.0,51,51,0.0125,961,0.000288675021064,0.000288675021064,22296.85134190301,5.459333610903617e-05,1.6288865572076694e-09,1.0918667221807234,9.57749118999982
1250,20000.0,51,51,0.025,481,0.000280509830241,0.000280509830241,22082.53277542437,5.371355967640141e-05,1.615050609616912e-09,1.0742711935280282,5.104305159999967
1250,20000.0,51,51,0.05,241,0.0002672741772805,0.0002672741772805,21759.68047602292,5.200693359935852e-05,1.601350589354571e-09,1.0401386719871704,2.784307619000174
1250,20000.0,101,101,0.00625,1921,0.0002911442892237,0.0002911442892237,22417.69615062857,5.4533299021548944e-05,1.6185889666069112e-09,1.0906659804309788,101.08417167700009
1250,20000.0,101,101,0.0125,961,0.0002866442260716,0.0002866442260716,22283.578214539702,5.408884552849255e-05,1.6063161553658986e-09,1.0817769105698511,51.64517236000029
1250,20000.0,101,101,0.025,481,0.0002786488801532,0.0002786488801532,22069.98305199623,5.321329344858059e-05,1.592537632050263e-09,1.0642658689716118,26.92853234100039
1250,20000.0,101,101,0.05,241,0.0002655620915424,0.0002655620915424,21748.969107309145,5.1515004383535504e-05,1.578891330147051e-09,1.03030008767071,14.593147933999717
1500,5000.0,51,51,0.00625,1921,7.850268839836377e-05,7.850268839836377e-05,5360.396079333576,1.4789355820531392e-05,4.443067762260662e-10,0.0739467791026569,18.69741745200008
1500,5000.0,51,51,0.0125,961,7.725967950219515e-05,7.725967950219515e-05,5341.731773784971,1.4662914178420748e-05,4.3470084594069244e-10,0.0733145708921037,9.573095660000035
1500,5000.0,51,51,0.025,481,7.501257402230521e-05,7.501257402230521e-05,5311.16745248022,1.4415563425689772e-05,4.2192091771220934e-10,0.0720778171284488,5.06323464200068
1500,5000.0,51,51,0.05,241,7.128972357334388e-05,7.128972357334388e-05,5263.945236186733,1.3931280299269566e-05,4.0842997963986135e-10,0.0696564014963478,2.856928232000428
1500,5000.0,101,101,0.00625,1921,7.786419472889436e-05,7.786419472889436e-05,5357.771524871702,1.4642916344505071e-05,4.3735918956300357e-10,0.0732145817225253,101.04083233600068
1500,5000.0,101,101,0.0125,961,7.666678421274189e-05,7.666678421274189e-05,5339.004650210939,1.4517765292898666e-05,4.2794467589711466e-10,0.0725888264644933,51.75082518700037
1500,5000.0,101,101,0.025,481,7.447573112711041e-05,7.447573112711041e-05,5308.430022299684,1.4270273073194464e-05,4.155692813854611e-10,0.0713513653659723,26.924888384999576
1500,5000.0,101,101,0.05,241,7.078868602687986e-05,7.078868602687986e-05,5261.734915536686,1.379199890863122e-05,4.025537823275504e-10,0.0689599945431561,14.698147551000147
1500,10000.0,51,51,0.00625,1921,0.0001570053767967,0.0001570053767967,10720.792158667153,2.9578711641062783e-05,8.886135524521324e-10,0.2957871164106278,18.650685135999083
1500,10000.0,51,51,0.0125,961,0.0001545193590043,0.0001545193590043,10683.463547569942,2.9325828356841492e-05,8.69401691881385e-10,0.2932582835684149,9.57593795200046
1500,10000.0,51,51,0.025,481,0.0001500251480446,0.0001500251480446,10622.33490496044,2.8831126851379545e-05,8.438418354244187e-10,0.2883112685137954,5.069481596001424
1500,10000.0,51,51,0.05,241,0.0001425794471466,0.0001425794471466,10527.890472373469,2.7862560598539133e-05,8.168599592797227e-10,0.2786256059853913,2.84498688200074
1500,10000.0,101,101,0.00625,1921,0.0001557283894577,0.0001557283894577,10715.543049743404,2.9285832689010143e-05,8.74718379126007e-10,0.2928583268901014,101.16812271799972
1500,10000.0,101,101,0.0125,961,0.0001533335684254,0.0001533335684254,10678.009300421878,2.9035530585797333e-05,8.558893517942293e-10,0.2903553058579733,51.6857716780014
1500,10000.0,101,101,0.025,481,0.0001489514622542,0.0001489514622542,10616.860044599369,2.8540546146388928e-05,8.311385627709222e-10,0.2854054614638893,26.81063971599906
1500,10000.0,101,101,0.05,241,0.0001415773720537,0.0001415773720537,10523.469831073371,2.758399781726244e-05,8.051075646551009e-10,0.2758399781726244,14.457930497999769
1500,20000.0,51,51,0.00625,1921,0.0003140107535934,0.0003140107535934,21441.584317334306,5.915742328212557e-05,1.7772271049042647e-09,1.1831484656425113,18.59194228100023
1500,20000.0,51,51,0.0125,961,0.0003090387180087,0.0003090387180087,21366.927095139883,5.865165671368299e-05,1.73880338376277e-09,1.1730331342736595,9.563013140999828
1500,20000.0,51,51,0.025,481,0.0003000502960892,0.0003000502960892,21244.66980992088,5.766225370275909e-05,1.6876836708488374e-09,1.1532450740551818,5.020388513999933
1500,20000.0,51,51,0.05,241,0.0002851588942933,0.0002851588942933,21055.780944746934,5.5725121197078265e-05,1.6337199185594454e-09,1.1145024239415653,2.865501943999334
1500,20000.0,101,101,0.00625,1921,0.0003114567789155,0.0003114567789155,21431.08609948681,5.8571665378020285e-05,1.7494367582520143e-09,1.1714333075604058,101.51536700600082
1500,20000.0,101,101,0.0125,961,0.0003066671368509,0.0003066671368509,21356.01860084376,5.8071061171594666e-05,1.7117787035884587e-09,1.1614212234318932,51.83811265700024
1500,20000.0,101,101,0.025,481,0.0002979029245084,0.0002979029245084,21233.72008919873,5.7081092292777856e-05,1.6622771255418443e-09,1.1416218458555571,27.022908806999112
1500,20000.0,101,101,0.05,241,0.0002831547441075,0.0002831547441075,21046.939662146742,5.516799563452488e-05,1.6102151293102015e-09,1.1033599126904976,14.61885454000003
1750,5000.0,51,51,0.00625,1921,8.093411117184145e-05,8.093411117184145e-05,5212.966014010666,1.527531405415137e-05,4.806938314383184e-10,0.0763765702707568,18.637099923998903
1750,5000.0,51,51,0.0125,961,7.966038468700212e-05,7.966038468700212e-05,5202.166547356322,1.5143688702230545e-05,4.640590378676726e-10,0.0757184435111527,9.60405107400038
1750,5000.0,51,51,0.025,481,7.731823469763513e-05,7.731823469763513e-05,5184.379427056948,1.4884141527236128e-05,4.4122681475073105e-10,0.0744207076361806,5.0589008040005865
1750,5000.0,51,51,0.05,241,7.33971157549314e-05,7.33971157549314e-05,5156.599772340151,1.4364244970713136e-05,4.169914938995632e-10,0.0718212248535656,2.8548258330010867
1750,5000.0,101,101,0.00625,1921,8.026128280695958e-05,8.026128280695958e-05,5211.207567195697,1.5119393697514516e-05,4.717530430073644e-10,0.0755969684875725,101.2401096249996
1750,5000.0,101,101,0.0125,961,7.90329124042358e-05,7.90329124042358e-05,5200.339382118615,1.4988495607955184e-05,4.5562793323861743e-10,0.0749424780397759,51.94361359399954
1750,5000.0,101,101,0.025,481,7.674196157836362e-05,7.674196157836362e-05,5182.561534007925,1.4730400817993872e-05,4.3373676594599255e-10,0.0736520040899693,26.836696776999812
1750,5000.0,101,101,0.05,241,7.286010650727185e-05,7.286010650727185e-05,5155.138245791768,1.4217124069451608e-05,4.106327509260065e-10,0.071085620347258,14.520603934000974
1750,10000.0,51,51,0.00625,1921,0.0001618682223436,0.0001618682223436,10425.932028021332,3.055062810830274e-05,9.61387662876637e-10,0.3055062810830274,18.55434599
1750,10000.0,51,51,0.0125,961,0.000159320769374,0.000159320769374,10404.333094712643,3.028737740446109e-05,9.281180757353452e-10,0.3028737740446109,9.533302729998468
1750,10000.0,51,51,0.025,481,0.0001546364693952,0.0001546364693952,10368.758854113896,2.9768283054472256e-05,8.824536295014621e-10,0.2976828305447225,5.01520206799978
1750,10000.0,51,51,0.05,241,0.0001467942315098,0.0001467942315098,10313.1995446803,2.8728489941426276e-05,8.339829877991265e-10,0.2872848994142627,2.8435026280003517
1750,10000.0,101,101,0.00625,1921,0.0001605225656139,0.0001605225656139,10422.415134391396,3.023878739502903e-05,9.435060860147287e-10,0.3023878739502903,100.62907079999968
1750,10000.0,101,101,0.0125,961,0.0001580658248084,0.0001580658248084,10400.67876423723,2.9976991215910365e-05,9.112558664772348e-10,0.2997699121591036,51.4916745190003
1750,10000.0,101,101,0.025,481,0.0001534839231567,0.0001534839231567,10365.12306801585,2.9460801635987743e-05,8.67473531891985e-10,0.2946080163598775,26.75808739599961
1750,10000.0,101,101,0.05,241,0.0001457202130145,0.0001457202130145,10310.276491583536,2.8434248138903216e-05,8.212655018520133e-10,0.2843424813890322,14.463387841999063
1750,20000.0,51,51,0.00625,1921,0.0003237364446873,0.0003237364446873,20851.864056042665,6.110125621660548e-05,1.922775325753274e-09,1.2220251243321096,18.50626600800024
1750,20000.0,51,51,0.0125,961,0.000318641538748,0.000318641538748,20808.666189425287,6.057475480892218e-05,1.8562361514706903e-09,1.2114950961784436,9.551549000001614
1750,20000.0,51,51,0.025,481,0.0003092729387905,0.0003092729387905,20737.51770822779,5.953656610894451e-05,1.7649072590029242e-09,1.1907313221788902,5.143426272999932
1750,20000.0,51,51,0.05,241,0.0002935884630197,0.0002935884630197,20626.3990893606,5.745697988285255e-05,1.667965975598253e-09,1.1491395976570509,2.7455216770013067
