t_adimensional,p_outlet_Pa,q_outlet_m3s,w_centro_m,w_max_m,volume_acumulado_m3,potencia_W
0.0,4817.140303055156,1.336193609311782e-06,9.38501461785995e-08,9.38501461785995e-08,1.7715591789796678e-12,0.00668096804655891
0.025,4649.0231326918565,2.56466052907729e-06,2.780410481626245e-07,2.780410481626245e-07,5.171850775639725e-12,0.01282330264538645
0.05,4495.823433953749,3.684122399694843e-06,5.493626974677573e-07,5.493626974677573e-07,1.00563531472875e-11,0.018420611998474216
0.07500000000000001,4356.868907040626,4.699491854792989e-06,9.048906227997645e-07,9.048906227997645e-07,1.6287057944765755e-11,0.023497459273964943
0.1,4231.227495808313,5.617579621307428e-06,1.3419670191646722e-06,1.3419670191646722e-06,2.3734986652419206e-11,0.02808789810653714
0.125,4117.9730056327635,6.445153594833754e-06,1.8581820382227118e-06,1.8581820382227118e-06,3.2280133801223837e-11,0.03222576797416877
0.15000000000000002,4016.2606748074923,7.188386623804536e-06,2.4513567117536596e-06,2.4513567117536596e-06,4.18106780402542e-11,0.03594193311902268
0.17500000000000002,3925.3259469243962,7.852865479954968e-06,3.119527480019789e-06,3.119527480019789e-06,5.222220510142028e-11,0.03926432739977484
0.2,3844.467031969961,8.443718287999482e-06,3.860931980441896e-06,3.860931980441896e-06,6.341709971368272e-11,0.04221859143999741
0.225,3773.032037170194,8.96570856320766e-06,4.673995839988683e-06,4.673995839988683e-06,7.530406219465728e-11,0.0448285428160383
0.25,3710.4126135314273,9.423281637443604e-06,5.557320336849493e-06,5.557320336849493e-06,8.779768659503299e-11,0.04711640818721802
0.275,3656.041010633305,9.820586180404047e-06,6.509670849720409e-06,6.509670849720409e-06,1.0081806737639036e-10,0.04910293090202024
0.30000000000000004,3609.387992636752,1.0161489427776926e-05,7.529965997000539e-06,7.529965997000539e-06,1.1429042627889625e-10,0.05080744713888463
0.325,3569.9606003026274,1.0449593534635414e-05,8.617267293747517e-06,8.617267293747517e-06,1.281447608707409e-10,0.05224796767317707
0.35000000000000003,3537.2996815952783,1.0688253619827203e-05,9.770769006565268e-06,9.770769006565268e-06,1.4231551702128116e-10,0.05344126809913602
0.375,3510.9773970275464,1.0880595994935247e-05,1.0989787621069951e-05,1.0989787621069951e-05,1.5674128554259973e-10,0.05440297997467624
0.4,3490.594865998137,1.1029535362976109e-05,1.227374988578266e-05,1.227374988578266e-05,1.7136452163353203e-10,0.055147676814880545
